Question,Answer,Citation,System,Role,Keywords,LastReviewed
When does a within-grade increase take effect and how is the waiting period counted?,"A within-grade increase (WGI) takes effect on the first day of the first pay period after the employee completes the required waiting period at an acceptable level of competence: 52 calendar weeks for steps 2-4, 104 weeks for steps 5-7, and 156 weeks for steps 8-10. Certain nonpay status and breaks in service extend the waiting period.",5 CFR 531 Subpart D (531.405 effective date; 531.406 waiting periods),5 CFR,HR Specialist;Payroll,within-grade increase;WGI;waiting period;52 104 156 weeks;effective date,2026-07-04
"How does an HR specialist confirm an action effected — DCPDS, HR Link, or MyBiz?","HR confirms the effected SF-50 in DCPDS (the system of record) and in HR Link reporting, which reads DCPDS. MyBiz is employee self-service only — the employee can view their own effected SF-50 and data there, but it is not the HR verification tool. Confirm the SF-50 posted in DCPDS before treating the action as complete.",DCPDS / HR Link user documentation; MyBiz self-service scope,DCPDS,HR Specialist,confirm effected;DCPDS;HR Link;MyBiz;SF-50 verification,2026-07-04
Who certifies time and attendance and what does DCPS record on certification?,"The timekeeper records reported time; a designated certifier reviews and certifies it as correct. DCPS records the certified hours by type (regular, leave, overtime, premium) against the MER and uses them to compute pay for the pay period. Uncertified or corrected time is handled through the T&A correction process before pay is finalized.","DCPS User Manual, Time and Attendance — timekeeper/certifier",DCPS,Timekeeper;Payroll,time and attendance;certification;timekeeper;certifier;hours,2026-07-04
Pay is wrong after a personnel action — how is it corrected (manual pay adjustment)?,"When DCPS cannot automatically compute the correction (for example an unusual retroactive change or an amount the automated process does not handle), Payroll uses the manual Pay Adjustment process to enter the correcting amount. The adjustment posts to the MER and appears on the pay adjustment reports; the underlying personnel data should also be corrected so future pay computes correctly.","DCPS User Manual, Pay — Automated/Manual Pay Adjustments",DCPS,Payroll,pay correction;manual pay adjustment;retroactive;pay error,2026-07-04
How are civilian pay underpayments and debts handled?,"Underpayments are paid to the employee for the amount owed. Overpayments create a debt that is collected under due-process rules — the employee is notified and given the chance to review, request waiver, or arrange repayment before collection, with statutory limits on how much may be withheld per pay period. DCPS records and schedules the collection.","DoD FMR Vol 8, Ch. 9 (over/underpayments and debt collection)",FMR Vol 8,Payroll,underpayment;overpayment;debt;waiver;collection;due process,2026-07-04
How is FEHB enrollment and its premium deduction established for pay?,"The employee elects FEHB on the SF-2809 (or via Employee Express/self-service); HR records the enrollment and it flows to DCPS as a health-benefits deduction code. Premiums are withheld each pay period and, by default, taken pre-tax under premium conversion unless the employee waives it. The governing authority is 5 CFR Part 892 (premium conversion) and Part 890 (FEHB); DCPS executes the withholding.","5 CFR Part 890 / Part 892 (FEHB, premium conversion)",5 CFR,Payroll;Employee,FEHB;health benefits;premium conversion;SF-2809;deduction,2026-07-04
How are TSP contributions and the agency match processed?,The employee sets a TSP contribution election; DCPS withholds the employee amount each pay period and applies the agency automatic 1% plus matching contributions for FERS employees. Traditional contributions are pre-tax and Roth are after-tax. The authority is 5 CFR Part 1600 et seq. (FRTIB); DCPS executes the deduction and reports to the TSP recordkeeper.,5 CFR Part 1600 (TSP); 5 U.S.C. Ch. 84,5 CFR,Payroll;Employee,TSP;thrift savings;agency match;FERS;Roth;deduction,2026-07-04
How is federal and state income tax withholding set for a civilian employee?,"Federal income tax withholding is computed by DCPS from the employee's Form W-4 using the IRS percentage/wage-bracket method; state withholding follows the applicable state certificate. Supplemental wages (awards, retro) may be withheld at the supplemental rate. The authority is the Internal Revenue Code and IRS Pub. 15; DCPS applies it.",26 U.S.C. Subtitle C; IRS Pub. 15 (Circular E),FMR Vol 8,Payroll;Employee,tax withholding;W-4;federal tax;state tax;supplemental wages,2026-07-04
How are allotments and other voluntary deductions set up?,"Voluntary allotments (allotments to financial institutions, charitable contributions, union dues, etc.) are authorized by the employee and keyed to DCPS within the categories and limits DoD FMR Vol 8 permits. Discretionary allotments are limited in number; each is subordinate to mandatory deductions in the order of precedence.","DoD FMR Vol 8, Ch. 4 (allotments and order of precedence)",FMR Vol 8,Payroll;Employee,allotment;voluntary deduction;union dues;charity;limits,2026-07-04
"How are involuntary deductions (garnishments, tax levies, child support) handled and prioritized?","Involuntary deductions — IRS/state tax levies, child support and alimony orders, commercial garnishments, and salary offsets — are processed by DCPS on receipt of the legal order and applied in the order of precedence in DoD FMR Vol 8, subject to the Consumer Credit Protection Act limits on the amount that may be withheld. Child support and federal debts take priority per the governing statutes.","DoD FMR Vol 8, Ch. 4 / Ch. 8; 15 U.S.C. 1673 (CCPA limits)",FMR Vol 8,Payroll,garnishment;tax levy;child support;involuntary deduction;CCPA;offset,2026-07-04
How is overtime computed and what is the FLSA exempt vs non-exempt distinction?,"FLSA non-exempt employees earn overtime at 1.5x the FLSA regular rate for hours over 40 in a week; FLSA-exempt employees earn Title 5 overtime, which is capped (the hourly rate is limited by the GS-10 step 1 / GL cap). HR sets the FLSA status on the position; DCPS computes the pay. The authority is the FLSA and 5 CFR Part 550 Subpart A.",29 U.S.C. 207 (FLSA); 5 CFR Part 550 Subpart A (Title 5 overtime),5 CFR,HR Specialist;Payroll,overtime;FLSA;exempt;non-exempt;Title 5;cap,2026-07-04
"How are night, Sunday, and holiday premiums paid?","General Schedule employees receive night differential of 10% of basic pay for regularly scheduled night work, Sunday premium of 25% for regularly scheduled Sunday work, and holiday premium of an additional 100% (double time) for work on a holiday, under 5 CFR Part 550 Subpart A. DCPS computes each from the certified time and the position's schedule.",5 CFR Part 550 Subpart A; 5 U.S.C. 5545/5546,5 CFR,Payroll;Timekeeper,night differential;Sunday premium;holiday premium;premium pay,2026-07-04
How is retroactive pay processed after a late personnel action?,"When an action reaches DCPS after the pay period covering its effective date, the DCPS retroactive (retro) process recomputes each affected prior pay period from the effective date, nets the difference against what was already paid, and issues the adjustment. The effective date is not changed; the underlying entitlement governs the recomputation.","DCPS User Manual, Sec. E Batch — Retro Processing; DoD FMR Vol 8, Ch. 3",DCPS,Payroll,retroactive pay;retro;late action;recomputation;adjustment,2026-07-04
"How is final pay handled at separation, including unused annual leave?","At separation DCPS pays earned salary through the separation date and a lump-sum payment for the employee's unused accrued annual leave, projected forward as if the employee had remained in service. The authority is 5 U.S.C. 5551 and 5 CFR Part 550 Subpart L; the separation SF-50 triggers the computation.",5 U.S.C. 5551; 5 CFR Part 550 Subpart L (lump-sum annual leave),5 CFR,HR Specialist;Payroll,separation;final pay;lump-sum;annual leave;5551,2026-07-04
How are aggregate pay limitations (pay caps) applied?,Total compensation is bounded by the biweekly and annual aggregate limitations in 5 U.S.C. 5307 (generally the rate for Level IV/EX of the Executive Schedule); premium pay is also subject to the biweekly/annual premium-pay caps in 5 CFR Part 550. DCPS enforces the caps at computation and defers amounts over the biweekly cap where the annual method applies.,5 U.S.C. 5307; 5 CFR Part 530 Subpart B / Part 550 (premium caps),5 CFR,HR Specialist;Payroll,pay cap;aggregate limitation;5307;premium cap;EX level,2026-07-04
